16:38:47.909 springboot2.0-logging [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huiy.springboot2.Springboot2HelloworldApplicationTests], using SpringBootContextLoader
16:38:47.914 springboot2.0-logging [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huiy.springboot2.Springboot2HelloworldApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
16:38:47.916 springboot2.0-logging [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huiy.springboot2.Springboot2HelloworldApplicationTests]: Springboot2HelloworldApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:38:48.005 springboot2.0-logging [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huiy.springboot2.Springboot2HelloworldApplication for test class com.huiy.springboot2.Springboot2HelloworldApplicationTests
16:38:48.090 springboot2.0-logging [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
16:38:48.098 springboot2.0-logging [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@71e9ddb4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@394df057, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4961f6af, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5aebe890, org.springframework.test.context.support.DirtiesContextTestExecutionListener@65d09a04, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@33c911a1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@75db5df9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@707194ba, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1190200a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6a2f6f80]
16:38:48.321 springboot2.0-logging [main] INFO  c.h.s.Springboot2HelloworldApplicationTests - Starting Springboot2HelloworldApplicationTests on PHLPBET0IBSU6XG with PID 5500 (started by Administrator in E:\GitHub\SpringBoot-Learning\springboot2-helloworld)
16:38:48.322 springboot2.0-logging [main] INFO  c.h.s.Springboot2HelloworldApplicationTests - No active profile set, falling back to default profiles: default
16:38:48.350 springboot2.0-logging [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7526515b: startup date [Wed Jan 16 16:38:48 CST 2019]; root of context hierarchy
16:38:49.264 springboot2.0-logging [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
16:38:49.407 springboot2.0-logging [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@7526515b: startup date [Wed Jan 16 16:38:48 CST 2019]; root of context hierarchy
